Peptide,Avg. contacts,Simulation
1,47.75,SP-LL37
2,63.52,SP-LL37
3,90.95,SP-LL37
4,70.16,SP-LL37
5,76.16,SP-LL37
6,67.65,SP-LL37
7,47.81,SP-LL37
8,64.15,SP-LL37
9,72.84,SP-LL37
10,45.43,SP-LL37
11,92.83,SP-LL37
12,47.66,SP-LL37
13,56.05,SP-LL37
14,65.9,SP-LL37
15,78.79,SP-LL37
16,70.99,SP-LL37
17,64.95,SP-LL37
18,61.32,SP-LL37
19,63.33,SP-LL37
20,17.64,SP-LL37
21,57.09,SP-LL37
22,46.19,SP-LL37
23,62.74,SP-LL37
24,79.74,SP-LL37
25,34.94,SP-LL37
26,54.4,SP-LL37
27,61.38,SP-LL37
28,47.68,SP-LL37
29,49.5,SP-LL37
30,76.15,SP-LL37
31,52.47,SP-LL37
32,68.14,SP-LL37
33,47.43,SP-LL37
34,68.95,SP-LL37
35,34.84,SP-LL37
36,29.24,SP-LL37
37,50.36,SP-LL37
38,65.91,SP-LL37
39,87.22,SP-LL37
40,42.97,SP-LL37
41,17.74,SP-LL37
42,54.85,SP-LL37
43,56.33,SP-LL37
44,35.24,SP-LL37
45,25.13,SP-LL37
46,91.15,SP-LL37
47,37.44,SP-LL37
48,42.82,SP-LL37
49,48.57,SP-LL37
50,81.09,SP-LL37
51,42.56,SP-LL37
52,33.15,SP-LL37
53,51.29,SP-LL37
54,59.15,SP-LL37
55,52.67,SP-LL37
56,52.39,SP-LL37
57,57.68,SP-LL37
58,62.06,SP-LL37
59,24.87,SP-LL37
60,82.37,SP-LL37
61,40.71,SP-LL37
62,70.82,SP-LL37
63,44.17,SP-LL37
64,63.99,SP-LL37
65,46.92,SP-LL37
66,40.93,SP-LL37
67,46.15,SP-LL37
68,36.99,SP-LL37
69,76.19,SP-LL37
70,86.87,SP-LL37
71,64.35,SP-LL37
72,66.46,SP-LL37
73,50.96,SP-LL37
74,37.69,SP-LL37
75,73.06,SP-LL37
76,14.11,SP-LL37
77,44.59,SP-LL37
78,40.0,SP-LL37
79,54.66,SP-LL37
80,28.67,SP-LL37
81,37.92,SP-LL37
82,40.36,SP-LL37
83,47.78,SP-LL37
84,46.26,SP-LL37
85,61.95,SP-LL37
86,63.22,SP-LL37
87,53.93,SP-LL37
88,65.79,SP-LL37
89,85.06,SP-LL37
90,67.86,SP-LL37
91,83.73,SP-LL37
92,87.34,SP-LL37
93,44.3,SP-LL37
94,52.8,SP-LL37
95,56.77,SP-LL37
96,13.21,SP-LL37
97,64.96,SP-LL37
98,33.95,SP-LL37
99,51.54,SP-LL37
100,54.08,SP-LL37
101,63.06,SP-LL37
102,8.26,SP-LL37
103,46.85,SP-LL37
104,48.55,SP-LL37
105,58.03,SP-LL37
1,36.08,SC-helical
2,42.07,SC-helical
3,36.46,SC-helical
4,31.56,SC-helical
5,49.07,SC-helical
6,27.52,SC-helical
7,30.81,SC-helical
8,14.11,SC-helical
9,37.12,SC-helical
10,47.79,SC-helical
11,48.46,SC-helical
12,47.17,SC-helical
13,35.4,SC-helical
14,37.09,SC-helical
15,40.23,SC-helical
16,26.44,SC-helical
17,44.97,SC-helical
18,29.62,SC-helical
19,13.89,SC-helical
20,56.77,SC-helical
21,60.14,SC-helical
22,36.34,SC-helical
23,51.23,SC-helical
24,38.12,SC-helical
25,32.9,SC-helical
26,28.19,SC-helical
27,16.34,SC-helical
28,57.42,SC-helical
29,13.03,SC-helical
30,33.65,SC-helical
31,26.23,SC-helical
32,36.02,SC-helical
33,45.19,SC-helical
34,26.17,SC-helical
35,37.3,SC-helical
36,53.15,SC-helical
37,29.52,SC-helical
38,57.54,SC-helical
39,22.42,SC-helical
40,33.3,SC-helical
41,28.98,SC-helical
42,30.62,SC-helical
43,21.31,SC-helical
44,38.82,SC-helical
45,40.07,SC-helical
46,40.04,SC-helical
47,49.07,SC-helical
48,33.48,SC-helical
49,47.08,SC-helical
50,22.81,SC-helical
51,50.85,SC-helical
52,16.55,SC-helical
53,35.93,SC-helical
54,43.24,SC-helical
55,40.59,SC-helical
56,49.82,SC-helical
57,34.22,SC-helical
58,15.77,SC-helical
59,47.68,SC-helical
60,52.84,SC-helical
61,27.26,SC-helical
62,41.07,SC-helical
63,26.65,SC-helical
64,24.25,SC-helical
65,17.92,SC-helical
66,47.92,SC-helical
67,33.51,SC-helical
68,53.21,SC-helical
69,29.15,SC-helical
70,53.09,SC-helical
71,10.49,SC-helical
72,32.65,SC-helical
73,30.96,SC-helical
74,30.77,SC-helical
75,54.8,SC-helical
76,34.25,SC-helical
77,35.61,SC-helical
78,44.4,SC-helical
79,33.19,SC-helical
80,51.14,SC-helical
81,17.2,SC-helical
82,29.15,SC-helical
83,42.69,SC-helical
84,29.96,SC-helical
85,28.09,SC-helical
86,29.37,SC-helical
87,40.04,SC-helical
88,26.57,SC-helical
89,31.85,SC-helical
90,21.89,SC-helical
91,53.68,SC-helical
92,44.25,SC-helical
93,25.78,SC-helical
94,31.24,SC-helical
95,25.33,SC-helical
96,32.28,SC-helical
97,12.78,SC-helical
98,46.74,SC-helical
99,27.9,SC-helical
100,38.13,SC-helical
101,24.13,SC-helical
102,39.31,SC-helical
103,42.2,SC-helical
104,56.95,SC-helical
105,30.72,SC-helical
1,5.95,SC-monomer
2,6.12,SC-monomer
3,6.02,SC-monomer
4,5.19,SC-monomer
5,6.02,SC-monomer
6,4.46,SC-monomer
7,5.68,SC-monomer
8,7.2,SC-monomer
9,5.15,SC-monomer
10,5.74,SC-monomer
11,5.11,SC-monomer
12,6.2,SC-monomer
13,5.6,SC-monomer
14,5.16,SC-monomer
15,6.59,SC-monomer
16,6.07,SC-monomer
17,5.57,SC-monomer
18,5.22,SC-monomer
19,5.32,SC-monomer
20,5.4,SC-monomer
21,4.65,SC-monomer
22,7.01,SC-monomer
23,5.23,SC-monomer
24,6.38,SC-monomer
25,4.77,SC-monomer
26,6.37,SC-monomer
27,5.93,SC-monomer
28,5.83,SC-monomer
29,5.57,SC-monomer
30,6.65,SC-monomer
31,5.67,SC-monomer
32,5.73,SC-monomer
33,5.12,SC-monomer
34,6.56,SC-monomer
35,5.46,SC-monomer
36,5.6,SC-monomer
37,6.47,SC-monomer
38,5.75,SC-monomer
39,5.5,SC-monomer
40,6.32,SC-monomer
41,6.33,SC-monomer
42,6.54,SC-monomer
43,6.11,SC-monomer
44,6.15,SC-monomer
45,5.73,SC-monomer
46,5.35,SC-monomer
47,6.05,SC-monomer
48,5.84,SC-monomer
49,5.73,SC-monomer
50,5.94,SC-monomer
51,6.16,SC-monomer
52,5.98,SC-monomer
53,6.22,SC-monomer
54,5.8,SC-monomer
55,6.54,SC-monomer
56,6.04,SC-monomer
57,4.79,SC-monomer
58,5.86,SC-monomer
59,5.39,SC-monomer
60,5.01,SC-monomer
61,5.93,SC-monomer
62,6.92,SC-monomer
63,5.52,SC-monomer
64,5.3,SC-monomer
65,6.37,SC-monomer
66,6.04,SC-monomer
67,5.55,SC-monomer
68,6.02,SC-monomer
69,5.24,SC-monomer
70,5.9,SC-monomer
71,6.65,SC-monomer
72,5.7,SC-monomer
73,6.0,SC-monomer
74,5.34,SC-monomer
75,6.39,SC-monomer
76,6.32,SC-monomer
77,4.86,SC-monomer
78,5.73,SC-monomer
79,5.6,SC-monomer
80,5.13,SC-monomer
81,6.73,SC-monomer
82,6.61,SC-monomer
83,6.85,SC-monomer
84,5.28,SC-monomer
85,5.74,SC-monomer
86,5.96,SC-monomer
87,6.25,SC-monomer
88,5.53,SC-monomer
89,5.6,SC-monomer
90,6.41,SC-monomer
91,6.23,SC-monomer
92,5.42,SC-monomer
93,5.37,SC-monomer
94,5.55,SC-monomer
95,6.07,SC-monomer
96,5.5,SC-monomer
97,5.44,SC-monomer
98,5.72,SC-monomer
99,5.01,SC-monomer
100,5.38,SC-monomer
101,6.33,SC-monomer
102,6.58,SC-monomer
103,5.03,SC-monomer
104,6.31,SC-monomer
105,5.55,SC-monomer
1,1.3,SC-core
2,0.85,SC-core
3,3.14,SC-core
4,2.34,SC-core
5,0.49,SC-core
6,2.32,SC-core
7,1.66,SC-core
8,2.8,SC-core
9,0.82,SC-core
10,1.97,SC-core
11,2.48,SC-core
12,3.42,SC-core
13,2.18,SC-core
14,2.4,SC-core
15,2.16,SC-core
16,1.03,SC-core
17,1.47,SC-core
18,1.27,SC-core
19,1.27,SC-core
20,0.66,SC-core
21,3.91,SC-core
22,4.38,SC-core
23,1.56,SC-core
24,0.48,SC-core
25,3.28,SC-core
26,1.64,SC-core
27,1.46,SC-core
28,1.71,SC-core
29,0.94,SC-core
30,2.48,SC-core
31,2.55,SC-core
32,3.54,SC-core
33,0.7,SC-core
34,3.89,SC-core
35,1.54,SC-core
36,2.91,SC-core
37,0.32,SC-core
38,2.3,SC-core
39,2.37,SC-core
40,1.63,SC-core
41,1.56,SC-core
42,0.47,SC-core
43,0.02,SC-core
44,2.31,SC-core
45,1.72,SC-core
46,0.82,SC-core
47,3.59,SC-core
48,0.52,SC-core
49,1.94,SC-core
50,1.49,SC-core
51,0.04,SC-core
52,0.75,SC-core
53,1.97,SC-core
54,2.75,SC-core
55,2.38,SC-core
56,3.22,SC-core
57,2.99,SC-core
58,2.69,SC-core
59,3.42,SC-core
60,0.75,SC-core
61,1.82,SC-core
62,1.45,SC-core
63,1.57,SC-core
64,0.93,SC-core
65,3.81,SC-core
66,2.35,SC-core
67,2.93,SC-core
68,3.83,SC-core
69,2.83,SC-core
70,3.55,SC-core
71,1.69,SC-core
72,2.72,SC-core
73,3.17,SC-core
74,1.64,SC-core
75,1.22,SC-core
76,4.34,SC-core
77,2.52,SC-core
78,0.94,SC-core
79,0.33,SC-core
80,1.01,SC-core
81,1.72,SC-core
82,0.59,SC-core
83,1.2,SC-core
84,1.54,SC-core
85,2.98,SC-core
86,2.43,SC-core
87,6.22,SC-core
88,3.2,SC-core
89,0.37,SC-core
90,0.5,SC-core
91,0.41,SC-core
92,0.98,SC-core
93,2.25,SC-core
94,1.12,SC-core
95,0.8,SC-core
96,1.08,SC-core
97,1.34,SC-core
98,2.96,SC-core
99,3.0,SC-core
100,2.01,SC-core
101,1.23,SC-core
102,1.93,SC-core
103,2.03,SC-core
104,1.16,SC-core
105,1.77,SC-core
